transactionno,transactiondate,transactiontime,itemname,customername,paymentmethod,paymentrceipt,costprice(rm),sellingprice(rm),profit(rm)
T0001,01/03/2025,21:04,Chocojar(Blueberry),Zulkifli Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0096,6.5,8,1.5
T0002,01/03/2025,22:41,Chocojar(Strawberry),Hafiz Omar,Cash,N/A,6.5,8,1.5
T0003,01/03/2025,09:54,Chocojar(Matcha),Zulkifli Zainal,Cash,N/A,6.5,8,1.5
T0004,01/03/2025,16:51,Chocojar(Matcha),Hafiz Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0182,6.5,8,1.5
T0005,01/03/2025,08:47,Chocojar(Vanilla),Aina Ismail,Cash,N/A,6.5,8,1.5
T0006,01/03/2025,10:06,Chocojar(Matcha),Nur Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0235,6.5,8,1.5
T0007,01/03/2025,17:32,Chocojar(Blueberry),Ahmad Yusof,Cash,N/A,6.5,8,1.5
T0008,01/03/2025,16:05,Chocojar(Vanilla),Siti Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0271,6.5,8,1.5
T0009,01/03/2025,16:56,Chocojar(Matcha),Nur Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0274,6.5,8,1.5
T0010,01/03/2025,14:46,Chocojar(Vanilla),Ahmad Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0291,6.5,8,1.5
T0011,01/03/2025,21:08,Chocojar(Blueberry),Zara Zainal,Cash,N/A,6.5,8,1.5
T0012,01/03/2025,21:02,Chocojar(Vanilla),Zulkifli Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0304,6.5,8,1.5
T0013,01/03/2025,18:37,Chocojar(Chocolate),Ahmad Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0327,6.5,8,1.5
T0014,01/03/2025,13:56,Chocojar(Matcha),Zulkifli Abdullah,Cash,N/A,6.5,8,1.5
T0015,01/03/2025,22:18,Chocojar(Matcha),Faiz Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0353,6.5,8,1.5
T0016,01/03/2025,16:09,Chocojar(Strawberry),Zulkifli Hassan,Cash,N/A,6.5,8,1.5
T0017,01/03/2025,18:07,Chocojar(Blueberry),Aina Omar,OnlineBanking,https://photos.app.goo.gl.com/T0545,6.5,8,1.5
T0018,01/03/2025,11:36,Chocojar(Strawberry),Faiz Salleh,Cash,N/A,6.5,8,1.5
T0019,01/03/2025,19:14,Chocojar(Chocolate),Siti Latif,Cash,N/A,6.5,8,1.5
T0020,01/03/2025,08:46,Chocojar(Strawberry),Zara Rahman,Cash,N/A,6.5,8,1.5
T0021,01/03/2025,18:52,Chocojar(Matcha),Liyana Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0647,6.5,8,1.5
T0022,02/03/2025,09:40,Chocojar(Vanilla),Hafiz Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0040,6.5,8,1.5
T0023,02/03/2025,08:01,Chocojar(Blueberry),Hafiz Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0069,6.5,8,1.5
T0024,02/03/2025,10:32,Chocojar(Vanilla),Siti Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0097,6.5,8,1.5
T0025,02/03/2025,15:52,Chocojar(Vanilla),Aina Yusof,Cash,N/A,6.5,8,1.5
T0026,02/03/2025,08:10,Chocojar(Blueberry),Faiz Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0200,6.5,8,1.5
T0027,02/03/2025,16:02,Chocojar(Matcha),Siti Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0202,6.5,8,1.5
T0028,02/03/2025,21:31,Chocojar(Chocolate),Zara Hassan,Cash,N/A,6.5,8,1.5
T0029,02/03/2025,09:23,Chocojar(Blueberry),Zulkifli Hassan,Cash,N/A,6.5,8,1.5
T0030,02/03/2025,22:29,Chocojar(Strawberry),Ali Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0292,6.5,8,1.5
T0031,02/03/2025,17:23,Chocojar(Vanilla),Ali Salleh,Cash,N/A,6.5,8,1.5
T0032,02/03/2025,09:45,Chocojar(Chocolate),Ahmad Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0398,6.5,8,1.5
T0033,02/03/2025,22:40,Chocojar(Strawberry),Ahmad Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0410,6.5,8,1.5
T0034,02/03/2025,08:03,Chocojar(Matcha),Aina Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0415,6.5,8,1.5
T0035,02/03/2025,16:25,Chocojar(Chocolate),Zulkifli Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0421,6.5,8,1.5
T0036,02/03/2025,08:26,Chocojar(Strawberry),Hafiz Ismail,Cash,N/A,6.5,8,1.5
T0037,02/03/2025,14:13,Chocojar(Chocolate),Hafiz Omar,Cash,N/A,6.5,8,1.5
T0038,02/03/2025,09:38,Chocojar(Strawberry),Faiz Omar,OnlineBanking,https://photos.app.goo.gl.com/T0551,6.5,8,1.5
T0039,03/03/2025,21:06,Chocojar(Blueberry),Liyana Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0017,6.5,8,1.5
T0040,03/03/2025,14:38,Chocojar(Strawberry),Nur Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0018,6.5,8,1.5
T0041,03/03/2025,17:12,Chocojar(Matcha),Nur Rahman,Cash,N/A,6.5,8,1.5
T0042,03/03/2025,17:57,Chocojar(Strawberry),Faiz Salleh,Cash,N/A,6.5,8,1.5
T0043,03/03/2025,08:23,Chocojar(Matcha),Zara Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0109,6.5,8,1.5
T0044,03/03/2025,10:52,Chocojar(Chocolate),Zulkifli Latif,Cash,N/A,6.5,8,1.5
T0045,03/03/2025,11:31,Chocojar(Strawberry),Zulkifli Zainal,Cash,N/A,6.5,8,1.5
T0046,03/03/2025,09:51,Chocojar(Vanilla),Ali Ismail,Cash,N/A,6.5,8,1.5
T0047,03/03/2025,22:02,Chocojar(Chocolate),Ahmad Aziz,Cash,N/A,6.5,8,1.5
T0048,03/03/2025,09:44,Chocojar(Vanilla),Ali Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0220,6.5,8,1.5
T0049,03/03/2025,22:52,Chocojar(Chocolate),Ahmad Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0244,6.5,8,1.5
T0050,03/03/2025,10:24,Chocojar(Matcha),Ali Aziz,Cash,N/A,6.5,8,1.5
T0051,03/03/2025,18:51,Chocojar(Blueberry),Ahmad Abdullah,Cash,N/A,6.5,8,1.5
T0052,03/03/2025,09:42,Chocojar(Vanilla),Hafiz Abdullah,Cash,N/A,6.5,8,1.5
T0053,03/03/2025,14:58,Chocojar(Chocolate),Hafiz Latif,Cash,N/A,6.5,8,1.5
T0054,03/03/2025,17:39,Chocojar(Blueberry),Faiz Abdullah,Cash,N/A,6.5,8,1.5
T0055,03/03/2025,18:05,Chocojar(Blueberry),Faiz Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0458,6.5,8,1.5
T0056,03/03/2025,10:48,Chocojar(Chocolate),Hafiz Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0467,6.5,8,1.5
T0057,03/03/2025,14:47,Chocojar(Blueberry),Faiz Omar,OnlineBanking,https://photos.app.goo.gl.com/T0534,6.5,8,1.5
T0058,03/03/2025,08:26,Chocojar(Matcha),Ali Aziz,Cash,N/A,6.5,8,1.5
T0059,03/03/2025,11:31,Chocojar(Strawberry),Zara Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0602,6.5,8,1.5
T0060,03/03/2025,11:28,Chocojar(Blueberry),Zara Ismail,Cash,N/A,6.5,8,1.5
T0061,03/03/2025,13:12,Chocojar(Vanilla),Nur Abdullah,Cash,N/A,6.5,8,1.5
T0062,03/03/2025,12:55,Chocojar(Chocolate),Nur Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0638,6.5,8,1.5
T0063,04/03/2025,22:50,Chocojar(Strawberry),Zulkifli Ismail,Cash,N/A,6.5,8,1.5
T0064,04/03/2025,18:24,Chocojar(Chocolate),Liyana Abdullah,Cash,N/A,6.5,8,1.5
T0065,04/03/2025,20:52,Chocojar(Strawberry),Nur Latif,OnlineBanking,https://photos.app.goo.gl.com/T0085,6.5,8,1.5
T0066,04/03/2025,12:04,Chocojar(Matcha),Siti Ismail,Cash,N/A,6.5,8,1.5
T0067,04/03/2025,16:00,Chocojar(Chocolate),Zara Omar,OnlineBanking,https://photos.app.goo.gl.com/T0122,6.5,8,1.5
T0068,04/03/2025,20:08,Chocojar(Blueberry),Ali Salleh,Cash,N/A,6.5,8,1.5
T0069,04/03/2025,11:34,Chocojar(Vanilla),Faiz Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0204,6.5,8,1.5
T0070,04/03/2025,12:41,Chocojar(Blueberry),Zara Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0227,6.5,8,1.5
T0071,04/03/2025,19:04,Chocojar(Chocolate),Ahmad Salleh,Cash,N/A,6.5,8,1.5
T0072,04/03/2025,13:28,Chocojar(Strawberry),Ahmad Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0251,6.5,8,1.5
T0073,04/03/2025,16:00,Chocojar(Matcha),Siti Aziz,Cash,N/A,6.5,8,1.5
T0074,04/03/2025,15:09,Chocojar(Strawberry),Aina Latif,OnlineBanking,https://photos.app.goo.gl.com/T0381,6.5,8,1.5
T0075,04/03/2025,09:32,Chocojar(Strawberry),Zulkifli Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0431,6.5,8,1.5
T0076,04/03/2025,12:17,Chocojar(Matcha),Siti Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0452,6.5,8,1.5
T0077,04/03/2025,10:50,Chocojar(Matcha),Aina Rahman,Cash,N/A,6.5,8,1.5
T0078,04/03/2025,12:54,Chocojar(Chocolate),Liyana Latif,Cash,N/A,6.5,8,1.5
T0079,04/03/2025,15:41,Chocojar(Vanilla),Liyana Zainal,Cash,N/A,6.5,8,1.5
T0080,04/03/2025,19:04,Chocojar(Vanilla),Nur Latif,Cash,N/A,6.5,8,1.5
T0081,05/03/2025,22:21,Chocojar(Chocolate),Aina Hassan,Cash,N/A,6.5,8,1.5
T0082,05/03/2025,11:40,Chocojar(Vanilla),Zulkifli Latif,Cash,N/A,6.5,8,1.5
T0083,05/03/2025,15:56,Chocojar(Chocolate),Zara Yusof,Cash,N/A,6.5,8,1.5
T0084,05/03/2025,10:07,Chocojar(Matcha),Liyana Omar,OnlineBanking,https://photos.app.goo.gl.com/T0074,6.5,8,1.5
T0085,05/03/2025,21:33,Chocojar(Strawberry),Hafiz Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0075,6.5,8,1.5
T0086,05/03/2025,19:01,Chocojar(Strawberry),Zulkifli Aziz,Cash,N/A,6.5,8,1.5
T0087,05/03/2025,22:02,Chocojar(Vanilla),Zulkifli Ismail,Cash,N/A,6.5,8,1.5
T0088,05/03/2025,20:07,Chocojar(Blueberry),Faiz Salleh,Cash,N/A,6.5,8,1.5
T0089,05/03/2025,22:09,Chocojar(Vanilla),Zulkifli Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0175,6.5,8,1.5
T0090,05/03/2025,15:59,Chocojar(Vanilla),Ali Aziz,Cash,N/A,6.5,8,1.5
T0091,05/03/2025,08:24,Chocojar(Strawberry),Siti Yusof,Cash,N/A,6.5,8,1.5
T0092,05/03/2025,22:17,Chocojar(Strawberry),Ahmad Aziz,Cash,N/A,6.5,8,1.5
T0093,05/03/2025,10:48,Chocojar(Matcha),Zara Latif,Cash,N/A,6.5,8,1.5
T0094,05/03/2025,21:02,Chocojar(Strawberry),Siti Yusof,Cash,N/A,6.5,8,1.5
T0095,05/03/2025,17:51,Chocojar(Matcha),Siti Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0588,6.5,8,1.5
T0096,05/03/2025,21:17,Chocojar(Matcha),Hafiz Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0597,6.5,8,1.5
T0097,05/03/2025,12:31,Chocojar(Matcha),Siti Rahman,Cash,N/A,6.5,8,1.5
T0098,06/03/2025,14:12,Chocojar(Blueberry),Ali Omar,OnlineBanking,https://photos.app.goo.gl.com/T0065,6.5,8,1.5
T0099,06/03/2025,16:12,Chocojar(Vanilla),Aina Salleh,Cash,N/A,6.5,8,1.5
T0100,06/03/2025,12:06,Chocojar(Strawberry),Nur Hassan,Cash,N/A,6.5,8,1.5
T0101,06/03/2025,15:05,Chocojar(Chocolate),Aina Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0087,6.5,8,1.5
T0102,06/03/2025,17:12,Chocojar(Chocolate),Ahmad Yusof,Cash,N/A,6.5,8,1.5
T0103,06/03/2025,15:09,Chocojar(Vanilla),Hafiz Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0139,6.5,8,1.5
T0104,06/03/2025,08:53,Chocojar(Blueberry),Ahmad Rahman,Cash,N/A,6.5,8,1.5
T0105,06/03/2025,17:19,Chocojar(Strawberry),Ahmad Hassan,Cash,N/A,6.5,8,1.5
T0106,06/03/2025,18:33,Chocojar(Vanilla),Ali Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0226,6.5,8,1.5
T0107,06/03/2025,14:14,Chocojar(Chocolate),Ali Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0242,6.5,8,1.5
T0108,06/03/2025,18:46,Chocojar(Vanilla),Ahmad Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0258,6.5,8,1.5
T0109,06/03/2025,18:01,Chocojar(Strawberry),Aina Rahman,Cash,N/A,6.5,8,1.5
T0110,06/03/2025,13:41,Chocojar(Matcha),Zulkifli Yusof,Cash,N/A,6.5,8,1.5
T0111,06/03/2025,17:06,Chocojar(Matcha),Zara Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0335,6.5,8,1.5
T0112,06/03/2025,22:00,Chocojar(Chocolate),Zulkifli Abdullah,Cash,N/A,6.5,8,1.5
T0113,06/03/2025,08:23,Chocojar(Chocolate),Aina Yusof,Cash,N/A,6.5,8,1.5
T0114,06/03/2025,15:05,Chocojar(Vanilla),Siti Rahman,Cash,N/A,6.5,8,1.5
T0115,06/03/2025,17:14,Chocojar(Matcha),Siti Rahman,Cash,N/A,6.5,8,1.5
T0116,06/03/2025,16:15,Chocojar(Strawberry),Zulkifli Latif,Cash,N/A,6.5,8,1.5
T0117,06/03/2025,19:50,Chocojar(Vanilla),Nur Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0594,6.5,8,1.5
T0118,06/03/2025,21:17,Chocojar(Chocolate),Zulkifli Ismail,Cash,N/A,6.5,8,1.5
T0119,07/03/2025,15:11,Chocojar(Chocolate),Hafiz Salleh,Cash,N/A,6.5,8,1.5
T0120,07/03/2025,15:11,Chocojar(Strawberry),Hafiz Hassan,Cash,N/A,6.5,8,1.5
T0121,07/03/2025,09:31,Chocojar(Strawberry),Zara Abdullah,Cash,N/A,6.5,8,1.5
T0122,07/03/2025,14:14,Chocojar(Matcha),Zulkifli Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0188,6.5,8,1.5
T0123,07/03/2025,10:44,Chocojar(Chocolate),Aina Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0268,6.5,8,1.5
T0124,07/03/2025,22:04,Chocojar(Matcha),Zulkifli Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0307,6.5,8,1.5
T0125,07/03/2025,10:52,Chocojar(Matcha),Aina Abdullah,Cash,N/A,6.5,8,1.5
T0126,07/03/2025,16:45,Chocojar(Blueberry),Faiz Latif,Cash,N/A,6.5,8,1.5
T0127,07/03/2025,18:48,Chocojar(Vanilla),Ali Omar,OnlineBanking,https://photos.app.goo.gl.com/T0387,6.5,8,1.5
T0128,07/03/2025,22:05,Chocojar(Blueberry),Liyana Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0391,6.5,8,1.5
T0129,07/03/2025,16:00,Chocojar(Vanilla),Hafiz Latif,OnlineBanking,https://photos.app.goo.gl.com/T0402,6.5,8,1.5
T0130,07/03/2025,08:22,Chocojar(Strawberry),Faiz Omar,OnlineBanking,https://photos.app.goo.gl.com/T0423,6.5,8,1.5
T0131,07/03/2025,21:42,Chocojar(Chocolate),Aina Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0436,6.5,8,1.5
T0132,07/03/2025,09:56,Chocojar(Chocolate),Faiz Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0486,6.5,8,1.5
T0133,07/03/2025,14:22,Chocojar(Blueberry),Siti Latif,Cash,N/A,6.5,8,1.5
T0134,07/03/2025,13:13,Chocojar(Vanilla),Zulkifli Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0507,6.5,8,1.5
T0135,07/03/2025,09:12,Chocojar(Blueberry),Ali Aziz,Cash,N/A,6.5,8,1.5
T0136,07/03/2025,22:21,Chocojar(Strawberry),Zulkifli Abdullah,Cash,N/A,6.5,8,1.5
T0137,07/03/2025,19:33,Chocojar(Strawberry),Faiz Latif,OnlineBanking,https://photos.app.goo.gl.com/T0616,6.5,8,1.5
T0138,07/03/2025,17:34,Chocojar(Blueberry),Liyana Aziz,Cash,N/A,6.5,8,1.5
T0139,07/03/2025,22:32,Chocojar(Blueberry),Aina Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0630,6.5,8,1.5
